penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.5,4,60,30,44,HardRainNoon,Town01,120.0,103.6320595741272,0.86360049645106,1412,25000,768,644,2,2,0,66136,2678,2287,899,17,0,0,3600,0,0.016375000000000008,0.0165,693,304,415
0.5,0,60,30,42,HardRainNoon,Town05,120.0,124.15665197372437,1.034638766447703,1346,25000,580,766,1,1,0,66201,1365,1415,3019,23,0,0,3600,0,0.016375000000000008,0.0165,471,470,405
0.5,1,60,30,43,HardRainNoon,Town05,120.0,115.31061363220215,0.9609217802683513,1341,25000,467,874,1,0,1,68688,949,753,1610,25,0,0,3600,0,0.016375000000000008,0.0165,379,284,678
0.5,2,60,30,41,HardRainNoon,Town05,120.0,123.52183651924133,1.0293486376603445,1156,21160,784,372,1,1,0,66967,1104,1064,2865,31,0,0,3600,0,0.016375000000000008,0.0165,455,388,313
0.5,3,60,30,42,HardRainNoon,Town05,120.0,121.07889533042908,1.0089907944202423,815,14694,330,485,0,0,0,65313,1710,1783,3194,31,0,0,3600,0,0.016375000000000008,0.0165,379,215,221
0.5,4,60,30,42,HardRainNoon,Town05,120.0,120.49013876914978,1.0040844897429149,1017,18811,567,450,0,0,0,66437,1209,1214,3140,23,0,0,3600,0,0.016375000000000008,0.0165,406,313,298
0.5,0,60,30,60,HardRainNoon,Town10HD_Opt,120.0,122.29107713699341,1.0190923094749451,1365,25000,713,652,10,10,0,64145,3161,2764,1930,78,0,0,3600,0,0.016375000000000008,0.0165,509,555,301
0.5,1,60,30,59,HardRainNoon,Town10HD_Opt,120.0,133.23397588729858,1.1102831323941549,1407,25000,692,715,1,1,0,61251,4396,3958,2395,126,0,0,3600,0,0.016375000000000008,0.0165,660,320,427
0.5,2,60,30,59,HardRainNoon,Town10HD_Opt,120.0,137.12331652641296,1.1426943043867748,1404,25000,725,679,2,0,2,61455,3735,3338,3472,96,0,0,3600,0,0.016375000000000008,0.0165,769,354,281
0.5,3,60,30,59,HardRainNoon,Town10HD_Opt,120.0,132.34140038490295,1.1028450032075245,1405,25000,661,744,3,0,3,62515,3820,3155,2510,82,0,0,3600,0,0.016375000000000008,0.0165,674,398,333
0.5,4,60,30,59,HardRainNoon,Town10HD_Opt,120.0,136.23306822776794,1.1352755685647329,1396,25000,749,647,4,0,4,61748,4186,3645,2421,79,0,0,3600,0,0.016375000000000008,0.0165,638,250,508
1.0,0,60,60,45,ClearNoon,Town01,120.0,113.42262673377991,0.9451885561148325,1394,25000,1394,0,0,0,0,131988,4644,4949,2419,66,0,0,3600,0,0.016375000000000008,0.0165,689,271,434
