arm,v2x_enabled,v2v_enabled,map,weather,seed,penetration,n_vehicles,n_cavs,n_walkers,duration_s,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian,hdv_hit_pedestrian,coll_attentive,coll_distracted,coll_aggressive_hostile,coll_ai_realistic,frozen_vehicle_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,v2v_received_total,v2v_deliveries_emitted,publishes_emitted,publishes_dropped,cbr_mean,dead_cav_count,decode_errors,wall_seconds,wall_to_sim_ratio,status
v2i_only,True,False,Town10HD_Opt,ClearNoon,0,0.0,60,0,56,90.0,28,19,9,51,0,28,1,0,1,8,7,13,0,45,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,61.9,0.687,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,57.5,0.639,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,0,0.5,60,30,56,90.0,26,15,11,47,17,9,1,0,1,1,9,5,11,39,28022,2512,628,369,12,0,0,0,2700,0,0.0163,19,0,66.1,0.734,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,0.5,60,30,59,90.0,19,14,5,32,11,8,1,0,1,5,2,3,9,31,36721,3055,894,1328,37,0,0,0,2700,0,0.0164,13,0,76.7,0.852,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,0,0.9,60,54,56,90.0,17,15,2,28,17,0,1,1,0,0,0,2,15,29,57718,5296,1014,1749,28,0,0,0,2700,0,0.0163,25,0,86.5,0.962,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,0.9,60,54,59,90.0,9,8,1,17,8,1,0,0,0,1,0,0,8,17,72309,6731,1537,1721,62,0,0,0,2700,0,0.0163,14,0,94.6,1.051,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,0,1.0,60,60,56,90.0,12,9,3,16,12,0,2,2,0,0,0,0,12,18,76813,5765,1312,1924,47,0,0,0,2700,0,0.0163,18,0,99.4,1.105,ok
v2i_only,True,False,Town10HD_Opt,ClearNoon,1,1.0,60,60,59,90.0,8,7,1,13,8,0,0,0,0,0,0,0,8,15,82036,7606,1525,1719,49,0,0,0,2700,0,0.0163,15,0,96.1,1.068,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,0,0.0,60,0,56,90.0,28,19,9,51,0,28,1,0,1,7,8,13,0,45,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,58.3,0.648,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,70.9,0.788,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,0,0.5,60,30,56,90.0,21,15,6,37,16,5,1,0,1,1,3,6,11,35,33909,3090,745,578,37,0,0,0,2700,0,0.0163,16,0,65.5,0.728,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,0.5,60,30,59,90.0,16,13,3,28,6,10,1,0,1,7,1,4,4,28,41562,4009,929,548,35,0,0,0,2700,0,0.0163,7,0,71.6,0.796,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,0,0.9,60,54,56,90.0,13,10,3,22,12,1,1,1,0,1,0,2,10,21,72045,5911,1362,1113,56,0,0,0,2700,0,0.0163,17,0,78.5,0.872,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,0.9,60,54,59,90.0,10,8,2,17,10,0,0,0,0,0,1,0,9,18,71965,7069,1584,1151,89,0,0,0,2700,0,0.0163,17,0,79.7,0.886,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,0,1.0,60,60,56,90.0,10,9,1,14,10,0,2,2,0,0,0,0,10,16,78668,6557,1154,1063,36,0,0,0,2700,0,0.0163,16,0,76.3,0.848,ok
v2i_only,True,False,Town10HD_Opt,HardRainNoon,1,1.0,60,60,59,90.0,11,10,1,20,11,0,0,0,0,0,0,0,11,21,79986,7867,1682,1389,112,0,0,0,2700,0,0.0163,21,0,86.1,0.957,ok
v2v_only,False,True,Town01,ClearNoon,0,0.0,60,0,45,90.0,24,19,5,42,0,24,1,0,1,5,10,9,0,40,0,0,0,0,0,0,0,0,0,0,0.0,0,0,16.5,0.183,ok
v2v_only,False,True,Town01,ClearNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17.7,0.196,ok
v2v_only,False,True,Town01,ClearNoon,0,0.5,60,30,45,90.0,16,13,3,30,9,7,0,0,0,1,5,4,6,29,41827,2383,520,56,7,94,117841,117858,0,0,0.1535,10,0,30.9,0.343,ok
v2v_only,False,True,Town01,ClearNoon,1,0.5,60,30,44,90.0,14,10,4,25,7,7,0,0,0,2,2,7,3,24,42606,2548,719,45,7,136,152764,152778,0,0,0.1666,8,0,32.3,0.359,ok
v2v_only,False,True,Town01,ClearNoon,0,0.9,60,54,45,90.0,9,7,2,15,9,0,1,1,0,0,0,2,7,14,77165,5717,1296,178,12,451,417032,417076,0,0,0.3264,11,0,86.3,0.959,ok
v2v_only,False,True,Town01,ClearNoon,1,0.9,60,54,44,90.0,11,9,2,18,9,2,1,1,0,1,0,1,9,18,74718,6055,1740,167,21,670,371005,371044,0,0,0.2969,13,0,50.3,0.559,ok
v2v_only,False,True,Town01,ClearNoon,0,1.0,60,60,45,90.0,7,5,2,10,7,0,1,1,0,0,0,0,7,10,89209,6359,1678,232,45,574,518864,518890,0,0,0.3512,10,0,78.6,0.874,ok
v2v_only,False,True,Town01,ClearNoon,1,1.0,60,60,44,90.0,8,6,2,13,8,0,0,0,0,0,0,0,8,13,84916,6481,1555,205,39,514,503650,503707,0,0,0.3202,13,0,60.0,0.666,ok
v2v_only,False,True,Town01,HardRainNoon,0,0.0,60,0,45,90.0,24,19,5,42,0,24,1,0,1,5,10,9,0,40,0,0,0,0,0,0,0,0,0,0,0.0,0,0,16.4,0.182,ok
v2v_only,False,True,Town01,HardRainNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18.1,0.201,ok
v2v_only,False,True,Town01,HardRainNoon,0,0.5,60,30,45,90.0,16,13,3,30,9,7,0,0,0,1,5,4,6,29,41827,2383,520,56,7,94,117841,117858,0,0,0.1535,10,0,30.7,0.341,ok
v2v_only,False,True,Town01,HardRainNoon,1,0.5,60,30,44,90.0,14,10,4,25,7,7,0,0,0,2,2,7,3,24,42606,2548,719,45,7,136,152764,152778,0,0,0.1666,8,0,31.1,0.346,ok
v2v_only,False,True,Town01,HardRainNoon,0,0.9,60,54,45,90.0,9,7,2,15,9,0,1,1,0,0,0,2,7,14,77165,5717,1296,178,12,451,417032,417076,0,0,0.3264,11,0,85.2,0.947,ok
v2v_only,False,True,Town01,HardRainNoon,1,0.9,60,54,44,90.0,11,9,2,18,9,2,1,1,0,1,0,1,9,18,74789,6047,1680,164,23,618,371019,371058,0,0,0.2967,13,0,51.6,0.573,ok
